draw_date,number1,number2,number3,number4,number5,powerball,Multiplier
10/7/20,6,24,30,53,56,19,2
10/10/20,5,18,23,40,50,18,3
10/14/20,21,37,52,53,58,5,2
10/17/20,6,10,31,37,44,23,2
10/21/20,1,3,13,44,56,26,3
10/24/20,18,20,27,45,65,6,2
10/28/20,11,28,37,40,53,13,2
10/31/20,2,6,40,42,55,24,3
11/4/20,23,32,33,45,49,14,2
11/7/20,14,16,37,48,58,18,2
11/11/20,13,15,17,45,63,13,2
11/14/20,7,15,18,32,45,20,2
11/18/20,4,5,17,43,52,5,2
11/21/20,51,54,57,60,69,11,2
11/25/20,2,57,58,60,65,26,2
11/28/20,8,12,18,44,51,18,2
12/2/20,28,31,40,41,46,4,3
12/5/20,3,4,6,48,53,10,2
12/9/20,11,14,31,47,48,4,3
12/12/20,17,54,56,63,69,20,2
12/16/20,4,23,37,61,67,7,2
12/19/20,27,32,34,43,52,13,2
12/23/20,6,13,38,39,53,6,3
12/26/20,10,24,27,35,53,18,2
12/30/20,3,43,45,61,65,14,2
1/2/21,3,4,11,41,67,5,2
1/6/21,1,20,22,60,66,3,3
1/9/21,14,26,38,45,46,13,2
1/13/21,4,19,23,25,49,14,2
1/16/21,14,20,39,65,67,2,3
1/20/21,40,53,60,68,69,22,3
1/23/21,5,8,17,27,28,14,3
1/27/21,17,33,35,42,52,9,3
1/30/21,1,2,7,52,61,4,3
2/3/21,5,37,40,64,66,5,3
2/6/21,1,16,48,49,65,8,2
2/10/21,15,39,58,63,67,7,2
2/13/21,20,28,33,63,68,20,2
2/17/21,1,15,21,32,46,1,3
2/20/21,4,8,22,32,58,4,10
2/24/21,4,33,43,53,65,21,3
2/27/21,2,28,31,44,52,18,3
3/3/21,21,40,44,50,55,16,3
3/6/21,11,31,50,52,58,18,4
3/10/21,17,18,37,44,53,18,3
3/13/21,5,11,51,56,61,2,2
3/17/21,34,38,42,61,62,19,2
3/20/21,1,6,22,42,61,4,3
3/24/21,4,9,17,27,38,18,2
3/27/21,6,14,38,39,65,6,3
3/31/21,3,10,44,55,68,24,2
4/3/21,1,12,17,39,53,5,2
4/7/21,27,35,39,51,66,16,5
4/10/21,14,16,23,50,53,3,3
4/14/21,13,30,33,45,61,14,2
4/17/21,10,21,26,41,49,25,2
4/21/21,21,25,32,63,67,6,2
4/24/21,22,36,48,59,61,22,3
5/1/21,35,36,47,61,63,3,3
5/5/21,16,23,28,40,63,1,2
5/8/21,12,17,20,21,26,8,3
5/12/21,1,19,20,38,54,17,2
5/15/21,4,10,37,39,69,24,3
5/19/21,11,13,55,56,69,4,2
5/22/21,3,19,27,37,40,8,2
5/26/21,2,8,21,34,62,16,2
5/29/21,11,13,22,27,46,20,2
6/2/21,6,7,11,66,67,19,3
6/5/21,44,52,54,64,69,26,3
6/9/21,19,28,46,50,54,9,2
6/12/21,8,25,34,38,41,10,3
6/16/21,19,29,34,44,50,25,2
6/19/21,4,22,35,38,39,20,2
6/23/21,13,20,40,51,63,1,3
6/26/21,8,31,39,43,60,17,3
6/30/21,24,29,50,65,66,14,4
7/3/21,26,40,41,55,65,24,2
7/7/21,8,21,30,49,57,8,2
7/10/21,1,5,29,54,62,3,2
7/14/21,33,46,52,59,62,10,2
7/17/21,15,22,38,54,66,3,2
7/21/21,27,28,44,67,68,11,2
7/24/21,1,4,11,59,67,10,2
7/28/21,25,30,53,59,60,5,3
7/31/21,1,21,22,34,47,4,2
8/4/21,5,21,32,36,58,14,2
8/7/21,7,24,36,54,60,23,2
8/11/21,12,18,20,29,30,16,3
8/14/21,6,21,49,65,67,18,2
8/18/21,35,36,51,55,61,26,2
8/21/21,16,28,36,39,59,4,2
8/23/21,17,36,47,60,61,15,3
8/25/21,27,39,54,56,59,24,3
8/28/21,12,22,26,46,59,26,2
8/30/21,3,15,45,51,61,8,2
9/1/21,10,20,29,48,51,17,2
9/4/21,32,35,40,52,54,1,5
9/6/21,11,20,22,33,54,24,2
9/8/21,9,22,41,47,61,21,2
9/11/21,20,31,38,40,49,21,2
9/13/21,37,40,50,61,63,21,3
9/15/21,1,4,18,46,62,25,3
9/18/21,5,36,39,45,57,11,2
9/20/21,37,51,54,58,60,19,2
9/22/21,20,40,47,55,63,5,3
9/25/21,22,23,37,62,63,19,3
9/27/21,21,22,39,44,60,12,2
9/29/21,2,7,11,17,32,11,3
10/2/21,28,38,42,47,52,1,2
10/4/21,12,22,54,66,69,15,2
10/6/21,1,17,52,58,64,1,10
10/9/21,12,17,30,45,62,5,2
10/11/21,11,20,33,39,65,24,3
10/13/21,23,29,47,59,60,15,2
10/16/21,30,31,41,42,48,3,3
10/18/21,30,32,48,53,63,12,2
10/20/21,7,29,36,41,43,5,2
10/23/21,10,30,51,57,63,20,2
10/25/21,10,27,29,44,58,24,2
10/27/21,3,6,26,35,51,17,4
10/30/21,5,23,28,43,56,19,2
11/1/21,9,25,34,44,45,8,3
11/3/21,1,2,24,50,57,26,2
11/6/21,8,30,48,57,64,9,2
11/8/21,21,46,47,57,62,8,3
11/10/21,19,25,43,46,48,14,2
11/13/21,8,15,26,35,45,9,3
11/15/21,5,31,34,51,53,23,2
11/17/21,3,16,48,52,60,1,3
11/20/21,40,43,48,59,69,19,3
11/22/21,7,20,29,38,67,22,2
11/24/21,10,16,32,63,65,17,2
11/27/21,8,32,55,64,66,10,2
11/29/21,18,26,28,38,47,17,2
12/1/21,12,15,38,57,63,24,2
12/4/21,10,40,45,56,67,2,2
12/6/21,3,21,38,50,59,6,3
12/8/21,3,7,33,50,69,24,2
12/11/21,3,25,44,53,64,10,2
12/13/21,10,30,37,53,59,4,2
12/15/21,19,20,40,42,59,15,3
12/18/21,2,6,24,51,61,1,2
12/20/21,2,13,23,34,66,2,4
12/22/21,7,16,19,48,68,15,2
12/25/21,27,29,45,55,58,2,3
12/27/21,36,38,45,62,64,19,2
12/29/21,2,6,9,33,39,11,2
1/1/22,6,12,39,48,50,7,2
1/3/22,2,13,32,33,48,22,2
1/5/22,6,14,25,33,46,17,2
1/8/22,20,21,36,60,65,13,10
1/10/22,14,17,18,21,27,9,2
1/12/22,12,21,22,30,33,24,4
1/15/22,3,18,37,51,59,13,2
1/17/22,9,24,35,46,65,22,2
1/19/22,11,15,43,55,61,10,3
1/22/22,8,14,33,36,67,17,2
1/24/22,11,29,30,47,53,16,3
1/26/22,4,11,38,49,69,16,3
